Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster,PCA1,PCA2,Customer Segment
67,3,758.1,2,3,3,233,0,0.25482478185866064,-0.2698036476106534,Regular Customers
217,3,562.41,1,3,2,132,1,-0.6119009415981812,0.906448869862483,Lost Customers
113,1,668.58,2,1,3,213,0,-0.6554983743968439,-0.20004810625771774,Regular Customers
64,1,600.39,2,1,2,212,0,-0.4918284421268496,-0.6589963691419306,Regular Customers
16,4,807.04,4,3,3,433,0,0.842524954111518,-0.5425404583005731,Regular Customers
96,3,803.5600000000001,2,3,3,233,0,0.16257278913892642,0.004704132154318592,Regular Customers
1,8,1859.31,4,4,4,444,2,3.0986700364307374,0.4723360765950552,VIP Customers
163,2,1760.96,1,2,4,124,0,0.41124183039140594,0.9837545233987035,Regular Customers
78,1,777.2,2,1,3,213,0,-0.3963340219174956,-0.4389063262854036,Regular Customers
195,1,582.73,1,1,2,112,1,-1.110204946293066,0.454916491118107,Lost Customers
22,3,825.8,3,3,3,333,0,0.5229740869864133,-0.6175942347028555,Regular Customers
43,1,256.4,3,1,1,311,0,-0.7062994566113355,-1.0336754255312104,Regular Customers
85,2,806.14,2,2,3,223,0,-0.09343314823881825,-0.22534823252922476,Regular Customers
100,1,509.01,2,1,2,212,0,-0.7400026964965775,-0.40181026425558986,Regular Customers
14,2,2906.85,4,2,4,424,2,2.1325522727851336,0.3533800383412398,VIP Customers
367,1,173.55,1,1,1,111,1,-2.271138889690794,1.6991956497148755,Lost Customers
3,1,172.06,4,1,1,411,0,-0.5986193814657161,-1.4245414176411302,Regular Customers
22,1,133.4,3,1,1,311,0,-0.72094842593138,-1.2833938114644947,Regular Customers
58,1,1002.3100000000001,2,1,3,213,0,-0.1008159164160378,-0.4832035786439139,Regular Customers
243,1,476.49,1,1,2,112,1,-1.426998228310305,0.8066524499890521,Lost Customers
44,1,449.45,3,1,2,312,0,-0.5363396595996813,-0.9159342845393884,Regular Customers
156,2,197.88,1,2,1,121,1,-0.9699257808756446,0.03984201156501531,Lost Customers
17,2,430.57,4,2,2,422,0,-0.12032806040629321,-1.0211153555137467,Regular Customers
134,1,707.09,2,1,3,213,0,-0.7172463669119217,0.0018946923330305356,Regular Customers
73,6,2466.86,2,4,4,244,2,2.699084767910595,1.1593196589332562,VIP Customers
66,7,2363.23,2,4,4,244,2,2.946493607361524,1.1778035931804496,VIP Customers
71,2,947.4,2,2,3,223,0,0.09867548103575897,-0.2655828952692832,Regular Customers
94,2,826.88,2,2,3,223,0,-0.11606658540701299,-0.13640619826734562,Regular Customers
19,2,1189.59,3,2,3,323,0,0.556790669698845,-0.5747622955471637,Regular Customers
53,4,1344.78,2,3,3,233,2,1.158610687870047,0.07896626884708523,VIP Customers
10,8,1212.05,4,4,3,443,2,2.472022272053859,0.18355184331267976,VIP Customers
17,2,742.1899999999999,4,2,3,423,0,0.16144281481042835,-0.8449071826213205,Regular Customers
188,2,729.54,1,2,3,123,1,-0.6363449869227623,0.6150138481853352,Lost Customers
54,1,723.38,2,1,3,213,0,-0.3346339260461467,-0.6752444360370177,Regular Customers
4,1,680.99,4,1,3,413,0,-0.14303676158178796,-1.1281832506135612,Regular Customers
11,1,527.2,4,1,2,412,0,-0.3142854346781696,-1.1550894468018855,Regular Customers
17,8,2484.98,4,4,4,444,2,3.590832462602946,0.9633965759128867,VIP Customers
10,3,1298.66,4,3,3,433,0,1.00572269825904,-0.4531641028562192,Regular Customers
336,1,334.93,1,1,2,112,1,-1.9826623964208396,1.524488541675377,Lost Customers
39,1,460.40000000000003,3,1,2,312,0,-0.5034458509137654,-0.9526394170782857,Regular Customers
63,2,263.21000000000004,2,2,1,221,0,-0.48318977468594515,-0.7210989803831339,Regular Customers
166,2,433.74,1,2,2,122,1,-0.8026434386946167,0.2590048555682697,Lost Customers
16,7,1246.1,4,4,3,443,2,2.1662968226877672,0.1171439271360735,VIP Customers
82,1,1043.1,2,1,3,213,0,-0.17429790852021496,-0.25423339294335023,Regular Customers
21,3,403.70000000000005,3,3,2,332,0,0.14590428750896728,-0.8648536415345148,Regular Customers
337,1,2169.39,1,1,4,114,1,-0.3285182329067822,2.5703788934603353,Lost Customers
18,2,482.04999999999995,4,2,2,422,0,-0.07837770696190449,-0.9834261721510268,Regular Customers
233,1,73.5,1,1,1,111,1,-1.7454016999919124,0.49298452949676863,Lost Customers
134,3,1304.81,2,3,3,233,0,0.4410652530416227,0.6141566597966306,Regular Customers
26,2,397.88,3,2,2,322,0,-0.1912736016205357,-0.9623857680705643,Regular Customers
284,1,176.5,1,1,1,111,1,-1.8867930457313207,0.9887751633981267,Lost Customers
143,2,982.5699999999999,1,2,3,123,0,-0.20061787451718727,0.37201968199728974,Regular Customers
66,2,132.18,2,2,1,221,0,-0.6154644179280228,-0.7694528638217086,Regular Customers
113,1,612.29,2,1,2,212,0,-0.7063965278078871,-0.23187776434164906,Regular Customers
267,1,1017.6800000000001,1,1,3,113,1,-1.0480120028467794,1.318578061257198,Lost Customers
353,1,383.7,1,1,2,112,1,-2.0167390223901593,1.6979154219615291,Lost Customers
78,2,1312.06,2,2,3,223,0,0.3962160713246199,0.0006728597524504846,Regular Customers
28,5,2481.6,3,3,4,334,2,2.610424255667287,0.6444443294103501,VIP Customers
1,5,2056.89,4,3,4,434,2,2.350556373354692,0.17264518063351988,VIP Customers
64,1,330.84000000000003,2,1,2,212,0,-0.7355590737123296,-0.8114157035978495,Regular Customers
79,5,2634.2599999999998,2,3,4,234,2,2.513936130720069,1.1683156316444137,VIP Customers
143,1,599.68,1,1,2,112,0,-0.8557547083193273,0.018373221825753593,Regular Customers
39,2,192.72,3,2,1,321,0,-0.4365629106028728,-0.9668632830688239,Regular Customers
19,11,1789.77,3,4,4,344,2,3.879785508049411,0.9988571274854848,VIP Customers
1,3,1316.66,4,3,3,433,0,1.0633853495530796,-0.5202002754344689,Regular Customers
82,3,348.71000000000004,2,3,2,232,0,-0.18432903157507186,-0.3726059876902393,Regular Customers
9,6,1933.48,4,4,4,444,2,2.5111018515032884,0.3086350548878296,VIP Customers
60,4,1662.28,2,3,4,234,2,1.4135085900284268,0.318555001746982,VIP Customers
15,1,125.22,4,1,1,411,0,-0.6961551429218104,-1.348074925985965,Regular Customers
30,1,349.83000000000004,3,1,2,312,0,-0.5620378733461036,-1.0923765869891175,Regular Customers
131,1,1089.18,2,1,3,213,0,-0.3579599916503648,0.19221258285193543,Regular Customers
92,2,716.35,2,2,3,223,0,-0.20681218519544572,-0.21606508571929722,Regular Customers
29,1,363.95,3,1,2,312,0,-0.5446718497472445,-1.0929716937786293,Regular Customers
30,3,981.18,3,3,3,333,0,0.6266824319727523,-0.4610982506969048,Regular Customers
36,1,372.7,3,1,2,312,0,-0.5689497313099443,-1.0279682679210806,Regular Customers
75,2,1000.39,2,2,3,223,0,0.12819559083124216,-0.20130172782969566,Regular Customers
47,2,1161.5,3,2,3,323,0,0.4026323411971537,-0.3504233678944652,Regular Customers
198,2,207.8,1,2,1,121,1,-1.1540944625460738,0.40578534444678216,Lost Customers
166,1,95.19999999999999,1,1,1,111,1,-1.4176784230780366,-0.06956352082244657,Lost Customers
79,1,964.83,2,1,3,213,0,-0.23127505971642684,-0.3242299702787463,Regular Customers
358,1,168.0,1,1,1,111,1,-2.2347704560700543,1.6188429298302378,Lost Customers
39,2,437.82,3,2,2,322,0,-0.21494028844890817,-0.8282694085552059,Regular Customers
50,2,599.56,3,2,2,322,0,-0.11927675374775912,-0.6424389668233014,Regular Customers
8,1,269.96,4,1,1,411,0,-0.5330895980608159,-1.326286129080987,Regular Customers
311,2,561.71,1,2,2,122,1,-1.353718886008316,1.5753767631428737,Lost Customers
5,3,2134.0099999999998,4,3,4,434,2,1.7840497574701633,-0.02370526089888391,VIP Customers
303,1,238.85,1,1,1,111,1,-1.9177875285332882,1.1870397310787217,Lost Customers
261,1,456.9,1,1,2,112,1,-1.5274853945069256,0.9500039688736971,Lost Customers
289,1,145.92,1,1,1,111,1,-1.937436556876977,1.0143803458892786,Lost Customers
86,1,351.65,2,1,2,212,0,-0.8179101725978342,-0.6109021395915544,Regular Customers
40,2,519.61,3,2,2,322,0,-0.14558323701395773,-0.7734411785319079,Regular Customers
9,2,1020.4200000000001,4,2,3,423,0,0.4498102968015705,-0.7562147132292707,Regular Customers
227,1,160.54000000000002,1,1,1,111,1,-1.6391077840886912,0.49072575244338607,Lost Customers
316,1,218.45000000000002,1,1,1,111,1,-1.9960144316846726,1.2870363256485409,Lost Customers
36,5,1315.83,3,3,3,333,2,1.519531510246811,0.05388483682035485,VIP Customers
35,3,626.6,3,3,2,332,0,0.28307388786959087,-0.6187016171344029,Regular Customers
21,2,2794.51,3,2,4,324,2,1.99878323121989,0.34991209632912723,VIP Customers
78,1,440.42,2,1,2,212,0,-0.700854897841658,-0.6293414346440174,Regular Customers
247,1,415.7,1,1,2,112,1,-1.5003594810145287,0.8065957510795598,Lost Customers
40,1,197.71,3,1,1,311,0,-0.7455721160010415,-1.0926003257430787,Regular Customers
239,2,511.36,1,2,2,122,1,-1.0681514847772677,0.9291905260839027,Lost Customers
4,9,2338.15,4,4,4,444,2,3.826770508412696,0.9059764201052547,VIP Customers
234,2,2040.1,1,2,4,124,1,0.33714787135485785,1.7507326265030805,Lost Customers
17,1,196.94000000000003,4,1,1,411,0,-0.6405020521737504,-1.290361482311547,Regular Customers
8,1,144.0,4,1,1,411,0,-0.6469842756883695,-1.3975112797694216,Regular Customers
39,1,214.89999999999998,3,1,1,311,0,-0.7254301582936035,-1.091459474985643,Regular Customers
29,2,646.68,3,2,2,322,0,0.01989900349618041,-0.7959615553993572,Regular Customers
317,1,452.84999999999997,1,1,2,112,1,-1.788665424448349,1.4281591749681393,Lost Customers
92,2,437.6,2,2,2,222,0,-0.45886157697601543,-0.37368663823121484,Regular Customers
109,3,418.09999999999997,2,3,2,232,0,-0.24574613540587428,-0.10172554757182901,Regular Customers
51,2,618.27,3,2,2,322,0,-0.1069574624330538,-0.6232798579926552,Regular Customers
29,7,1032.58,3,4,3,343,2,1.913448292484675,0.10793917920866716,VIP Customers
29,10,2599.04,3,4,4,344,2,4.256629970185281,1.4051214598988955,VIP Customers
190,5,577.0600000000001,1,3,2,132,1,0.14335161511946432,0.9573656829679533,Lost Customers
59,1,153.12,2,1,1,211,0,-0.8732631439402794,-0.9548058883786248,Regular Customers
22,1,739.1999999999999,3,1,3,313,0,-0.17317615134601994,-0.9408390616466661,Regular Customers
79,2,254.18,2,2,1,221,0,-0.5649313806684542,-0.5889349810807791,Regular Customers
60,1,1579.51,2,1,3,213,0,0.4118987942683177,-0.13966218030142738,Regular Customers
78,3,1126.85,2,3,3,233,0,0.5376694630799738,0.03308235496606588,Regular Customers
23,5,2099.54,3,3,4,334,2,2.2879532878018787,0.3855083579379686,VIP Customers
52,1,1193.32,2,1,3,213,0,0.09948903182234357,-0.42667163707966776,Regular Customers
74,1,704.04,2,1,3,213,0,-0.44409210922764825,-0.5145927913542839,Regular Customers
278,1,315.6,1,1,2,112,1,-1.7334257976806682,1.0159541550398843,Lost Customers
2,4,2291.19,4,3,4,434,2,2.248892265819133,0.1765734230050333,VIP Customers
95,2,713.3,2,2,3,223,0,-0.22336564041930887,-0.19205159233105498,Regular Customers
29,1,352.98,3,1,2,312,0,-0.5545910670668242,-1.0991747733519235,Regular Customers
22,1,177.31,3,1,1,311,0,-0.6812444302611206,-1.2585645294167878,Regular Customers
15,3,1339.41,4,3,3,433,0,1.019576705017269,-0.38722476667654654,Regular Customers
232,1,180.1,1,1,1,111,1,-1.6444140521711088,0.5446830233397313,Lost Customers
276,1,305.1,1,1,1,111,1,-1.7337229646087946,0.9928580797772317,Lost Customers
106,2,641.13,2,2,2,222,0,-0.33920658367831424,-0.1384875446729176,Regular Customers
212,2,2683.82,1,2,4,124,2,1.0203756781145938,1.9259831891003534,VIP Customers
4,3,786.46,4,3,3,433,0,0.5701759772812259,-0.7942682220701096,Regular Customers
10,2,1270.88,4,2,3,423,0,0.6716809658567136,-0.6060106006510483,Regular Customers
57,1,640.5,2,1,2,212,0,-0.4233707102237062,-0.6963714934542511,Regular Customers
59,4,2163.98,2,3,4,234,2,1.871750819705744,0.5936661427557154,VIP Customers
90,2,1689.18,2,2,4,224,0,0.6820304807718094,0.3168711304316608,Regular Customers
33,1,671.69,3,1,3,313,0,-0.2848034617235994,-0.8846399774514685,Regular Customers
239,1,486.1,1,1,2,112,1,-1.399914600256591,0.7777689836696297,Lost Customers
24,3,1174.58,3,3,3,333,0,0.8291484494357276,-0.4032148633550676,Regular Customers
115,1,185.9,2,1,1,211,0,-1.1011410067094038,-0.45582484630565734,Regular Customers
25,3,1013.26,3,3,3,333,0,0.678682262715434,-0.48585524546153547,Regular Customers
130,1,477.90999999999997,2,1,2,212,0,-0.9060797765740186,-0.1620146054637759,Regular Customers
34,4,1775.18,3,3,4,334,2,1.6351561582948873,0.15933136932881245,VIP Customers
5,2,1346.97,4,2,3,423,0,0.7634752135761229,-0.6058817675195374,Regular Customers
155,1,318.05,1,1,2,112,1,-1.1655906552324975,-0.03792428405907452,Lost Customers
107,3,623.51,2,3,2,232,0,-0.050814659538152084,-0.002733481478972499,Regular Customers
3,1,314.44,4,1,2,412,0,-0.469877525316057,-1.3440314386397065,Regular Customers
335,1,114.0,1,1,1,111,1,-2.177831653675874,1.390982418139942,Lost Customers
331,1,919.98,1,1,3,113,1,-1.4306598673000357,1.8124131250004867,Lost Customers
149,2,2209.85,1,2,4,124,2,0.8815135247546168,1.1174718541985236,VIP Customers
11,5,601.98,4,3,2,432,0,0.9890223921605312,-0.5642522169437636,Regular Customers
11,4,1643.18,4,3,3,433,2,1.621566341643742,-0.1126349041406029,VIP Customers
19,1,686.05,3,1,3,313,0,-0.2074394703573784,-0.9966313218552483,Regular Customers
30,1,91.68,3,1,1,311,0,-0.7954604759941899,-1.238349694723473,Regular Customers
11,1,245.1,4,1,1,411,0,-0.5693639402254295,-1.3146052852363679,Regular Customers
325,1,63.0,1,1,1,111,1,-2.1779611687194813,1.276350229553201,Lost Customers
58,1,620.13,2,1,2,212,0,-0.44638806547683835,-0.6993105021919127,Regular Customers
151,3,2744.0299999999997,1,3,4,134,2,1.6642516828616953,1.573825289644023,VIP Customers
330,1,225.9,1,1,1,111,1,-2.053657536110143,1.4113603195959434,Lost Customers
5,2,610.52,4,2,2,422,0,0.0975675020898428,-1.0223136683173912,Regular Customers
39,4,1970.6,3,3,4,334,2,1.7888647997677376,0.3127301692825417,VIP Customers
25,6,1331.39,3,4,3,343,2,1.8931076453794888,0.10544824546294544,VIP Customers
59,4,1113.02,2,3,3,233,0,0.9214590572458067,-0.0006081059543292179,Regular Customers
1,4,862.81,4,3,3,433,0,0.9619309436118153,-0.6396955474560161,Regular Customers
8,7,2283.63,4,4,4,444,2,3.1412332846932114,0.6351890236933218,VIP Customers
28,6,2863.08,3,4,4,344,2,3.264286149048223,0.997293493118956,VIP Customers
372,1,89.14,1,1,1,111,1,-2.370456190108371,1.6943622019935918,Lost Customers
26,2,1247.61,3,2,3,323,0,0.577063365833109,-0.4818987301658048,Regular Customers
206,1,389.01,1,1,2,112,1,-1.3359529875643703,0.43974906000378317,Lost Customers
28,6,1035.8,3,4,3,343,2,1.6120357002130683,-0.03595748615988459,VIP Customers
127,4,855.91,2,3,3,233,0,0.3762764476492247,0.43740474315309824,Regular Customers
70,2,869.67,2,2,3,223,0,0.03298953464342422,-0.3181153638461298,Regular Customers
7,4,582.1,4,3,2,432,0,0.6805180834713098,-0.7469491150662497,Regular Customers
29,3,957.59,3,3,3,333,0,0.6099505809023908,-0.4830167969311676,Regular Customers
80,2,797.71,2,2,3,223,0,-0.07806298874647154,-0.2730119504947803,Regular Customers
20,1,219.0,3,1,1,311,0,-0.6343507173434069,-1.2521493263813344,Regular Customers
71,1,283.55,2,1,1,211,0,-0.8105090554199017,-0.7781005712031452,Regular Customers
7,8,2340.84,4,4,4,444,2,3.5064845427147033,0.7960975840940022,VIP Customers
292,1,603.42,1,1,2,112,1,-1.5375546851607813,1.298815744243848,Lost Customers
30,10,2712.91,3,4,4,344,2,4.354994176735283,1.4780895981000675,VIP Customers
97,3,1149.02,2,3,3,233,0,0.4703436993390169,0.20862680074557122,Regular Customers
1,1,848.55,4,1,3,413,0,0.02226878491318367,-1.0591731687417656,Regular Customers
106,1,343.36,2,1,2,212,0,-0.9173768014145813,-0.4440021786567787,Regular Customers
4,2,1053.49,4,2,3,423,0,0.5027052984782889,-0.7804119040943974,Regular Customers
151,2,1030.98,1,2,3,123,0,-0.19363320106005913,0.46802857193256847,Regular Customers
71,1,238.25,2,1,1,211,0,-0.8514699072500714,-0.8037158405440954,Regular Customers
5,2,644.95,4,2,2,422,0,0.12869955790690124,-1.0028449327013003,Regular Customers
32,6,2656.13,3,4,4,344,2,3.058765114809836,0.9145893821372059,VIP Customers
85,4,997.63,2,3,3,233,0,0.6975599984482839,0.15720753483781466,Regular Customers
4,5,725.07,4,3,3,433,0,1.1325117241711244,-0.5547055962249131,Regular Customers
5,4,1031.41,4,3,3,433,0,1.0959871258153762,-0.5100417246409924,Regular Customers
371,1,427.8,1,1,2,112,1,-2.0596368584970777,1.8772809917142785,Lost Customers
28,7,2609.1,3,4,4,344,2,3.343556808345282,0.9908164083639812,VIP Customers
71,4,836.33,2,3,3,233,0,0.6160899228721736,-0.05411224692647973,Regular Customers
114,1,453.01,2,1,2,212,0,-0.8550181198762261,-0.3133646111400477,Regular Customers
180,1,236.26000000000002,1,1,1,111,1,-1.3545096199311235,0.1303113812186507,Lost Customers
234,1,383.95,1,1,2,112,1,-1.4692872891863968,0.677110496551009,Lost Customers
353,1,110.39999999999999,1,1,1,111,1,-2.263860452968203,1.5433756181893066,Lost Customers
315,2,779.5699999999999,1,2,3,123,1,-1.1751211682384382,1.7328850708968642,Lost Customers
333,1,234.0,1,1,1,111,1,-2.0601290156627834,1.4416786750846626,Lost Customers
372,1,155.35,1,1,1,111,1,-2.310588243095666,1.731801208242252,Lost Customers
78,2,1013.04,2,2,3,223,0,0.12583828072291248,-0.16841053623719474,Regular Customers
64,1,427.6,2,1,2,212,0,-0.6480674175735388,-0.7567019406523673,Regular Customers
134,2,540.13,2,2,2,222,0,-0.5592910867260911,0.044623804885991256,Regular Customers
129,1,275.88,2,1,1,211,0,-1.0841594069065321,-0.28483356364503987,Regular Customers
87,1,112.08,2,1,1,211,0,-1.039131031629624,-0.7377896480982287,Regular Customers
117,2,2791.59,2,2,4,224,2,1.5546835570205197,1.1718814940509181,VIP Customers
52,3,1531.44,2,3,3,233,2,1.0230669401840107,0.03879730784727306,VIP Customers
8,2,1898.52,4,2,4,424,2,1.2483983240258167,-0.26826499871206827,VIP Customers
138,2,494.08,2,2,2,222,0,-0.6193242388568775,0.05290196403578388,Regular Customers
317,1,1693.88,1,1,4,114,1,-0.6665098847839886,2.1299101177981488,Lost Customers
239,1,1143.6,1,1,3,113,1,-0.805394510227086,1.1495579371282334,Lost Customers
211,1,1351.45,1,1,3,113,1,-0.4886948412178601,1.026865826621875,Lost Customers
60,1,892.47,2,1,3,213,0,-0.20933174969194274,-0.5281547773876618,Regular Customers
17,5,1386.04,4,3,3,433,2,1.6703884769032442,-0.06942255417511115,VIP Customers
20,6,822.23,3,4,3,343,2,1.4557111969927872,-0.22535749937002714,VIP Customers
64,2,826.74,2,2,3,223,0,0.021762878529710684,-0.39386678011018134,Regular Customers
5,5,2330.92,4,3,4,434,2,2.579943738967851,0.36191529145332013,VIP Customers
2,6,2225.91,4,4,4,444,2,2.807710623887412,0.4139364153461172,VIP Customers
9,2,532.82,4,2,2,422,0,0.008916006461818757,-1.031932270197203,Regular Customers
364,1,311.95,1,1,2,112,1,-2.1322001961619974,1.7517169621830926,Lost Customers
10,3,463.66,4,3,2,432,0,0.2507047892481852,-0.9253219372865374,Regular Customers
65,1,91.85,2,1,1,211,0,-0.9562554891666031,-0.9379752461836023,Regular Customers
192,1,324.92,1,1,2,112,1,-1.329524511122582,0.28339749750292725,Lost Customers
374,1,192.60000000000002,1,1,1,111,1,-2.2861033766872523,1.7700232979612052,Lost Customers
257,1,400.53999999999996,1,1,2,112,1,-1.5600527023303925,0.8838172063418579,Lost Customers
335,2,545.48,1,2,2,122,1,-1.478759107060755,1.7721045060659322,Lost Customers
53,2,860.41,2,2,3,223,0,0.10279161879839517,-0.4692009794157046,Regular Customers
19,1,430.48,3,1,2,312,0,-0.43852920329858086,-1.1411455466999867,Regular Customers
366,1,254.03,1,1,1,111,1,-2.1937692871195273,1.7361243679466765,Lost Customers
187,1,427.58,1,1,2,112,1,-1.213705322274528,0.2985505625635563,Lost Customers
37,3,483.65000000000003,3,3,2,332,0,0.14461956002201004,-0.6823751462949029,Regular Customers
178,1,489.31,1,1,2,112,1,-1.116501433661872,0.2562418895058309,Lost Customers
261,3,514.85,1,3,2,132,1,-0.8572408604776789,1.2570484102409463,Lost Customers
45,1,229.64000000000001,3,1,1,311,0,-0.7396932684733223,-1.0316483333953526,Regular Customers
102,1,125.92,2,1,1,211,0,-1.095594749697292,-0.6012729938473432,Regular Customers
148,2,1063.46,1,2,3,123,0,-0.15046875534255594,0.4606565217386786,Regular Customers
96,2,572.2,2,2,2,222,0,-0.35554863897169897,-0.26325840388401267,Regular Customers
281,1,166.04,1,1,1,111,1,-1.8824555090113337,0.957122325886347,Lost Customers
262,1,1542.08,1,1,3,113,1,-0.5508499960990395,1.5722075875066204,Lost Customers
3,4,942.34,4,3,3,433,0,1.0246459383950546,-0.5775658730188427,Regular Customers
214,1,92.72,1,1,1,111,1,-1.6406505575036991,0.3408444103844144,Lost Customers
71,2,948.88,2,2,3,223,0,0.10001371637149081,-0.2647460167124486,Regular Customers
75,5,1759.5,2,3,4,234,2,1.7413608507594966,0.6393576455224281,VIP Customers
60,1,397.12,2,1,2,212,0,-0.6572336912829928,-0.8082546376092884,Regular Customers
3,7,1474.72,4,4,3,443,2,2.432798970167583,0.13488709817712996,VIP Customers
6,3,430.15,4,3,2,432,0,0.23879874995273964,-0.978587973451032,Regular Customers
3,6,1018.71,4,4,3,443,2,1.711546077075774,-0.260105686369909,VIP Customers
337,2,293.0,1,2,1,121,1,-1.716251891883137,1.6464963091148304,Lost Customers
262,1,215.05,1,1,1,111,1,-1.7507678593261944,0.8218272150227101,Lost Customers
32,2,383.03000000000003,3,2,2,322,0,-0.23229237638424394,-0.919306543032122,Regular Customers
145,1,417.38,1,1,2,112,0,-1.0297898202622102,-0.06755109869382785,Regular Customers
283,1,312.38,1,1,2,112,1,-1.7593300393765792,1.057030281662789,Lost Customers
59,4,2610.36,2,3,4,234,2,2.2753734475192355,0.8460755009988358,VIP Customers
173,1,134.1,1,1,1,111,1,-1.4146942807405243,0.012488478338184726,Lost Customers
34,2,671.95,3,2,3,323,0,0.01975579201310663,-0.7387755165573866,Regular Customers
144,4,2726.77,1,3,4,134,2,1.9897574047093518,1.6411478731843263,VIP Customers
70,2,1118.99,2,2,3,223,0,0.2584279359303539,-0.17713525452856455,Regular Customers
66,8,1702.26,2,4,4,244,2,2.65775859146298,0.9411905598808097,VIP Customers
29,2,325.96000000000004,3,2,2,322,0,-0.27010021060916234,-0.9773154004993472,Regular Customers
267,4,354.09000000000003,1,3,2,132,1,-0.7212706700439655,1.354759648927868,Lost Customers
22,1,843.64,3,1,3,313,0,-0.07874013887045865,-0.8817825775413937,Regular Customers
31,2,1010.29,3,2,3,323,0,0.33948284569475334,-0.5731964347286931,Regular Customers
97,1,131.81,2,1,1,211,0,-1.0672762591186753,-0.6408393463170399,Regular Customers
295,1,311.55,1,1,2,112,1,-1.8152629577265786,1.1595135181827914,Lost Customers
135,6,1957.1000000000001,2,4,4,244,2,1.953043938274843,1.4029931384392351,VIP Customers
